name,count
United States,230
United Kingdom of Great Britain and Northern Ireland,52
Canada,33
Commonwealth of Australia,31
Federal Republic of Germany,14
Kingdom of Sweden,14
Republic of Poland,13
Russian Federation,12
Kingdom of the Netherlands,11
Republic of France,10
Italian Republic,8
Kingdom of Spain,8
Ukraine,8
Kingdom of Norway,8
România,8
Serbia,7
Republic of the Philippines,6
Republic of Bulgaria,6
Portuguese Republic,6
Hellenic Republic,5
Bosnia and Herzegovina,5
Hungary,5
Republic of South Africa,5
New Zealand,4
Republic of Korea,4
Republic of Finland,4
Kingdom of Denmark,4
Republic of Austria,4
Islamic Republic of Iran,4
Republic of Croatia,4
Islamic Republic of Afghanistan,3
Bolivarian Republic of Venezuela,3
Federative Republic of Brazil,3
Republic of Iraq,3
Ireland,3
Republic of Colombia,3
Japan,3
Mexico,3
Republic of Peru,2
Czechia,2
State of Israel,2
Switzerland,2
Republic of Slovenia,2
Argentine Republic,2
Commonwealth of The Bahamas,2
Republic of India,1
Republic of Singapore,1
Union of Burma,1
United Arab Emirates,1
Republic of Cuba,1
Kingdom of Morocco,1
Slovak Republic,1
Montenegro,1
Republic of Albania,1
Republic of Latvia,1
Bailiwick of Jersey,1
Arab Republic of Egypt,1
Republic of Turkey,1
Brunei Darussalam,1
Republic of Indonesia,1
Republic of Malta,1
Federal Republic of Nigeria,1
Dominican Republic,1
Republic of Uganda,1
Republic of Kosovo,1
Malaysia,1
People’s Democratic Republic of Algeria,1
Puerto Rico,1
Republic of Chile,1
Republic of Côte d’Ivoire,1
Republic of Iceland,1
Republic of Lithuania,1
South Georgia and the South Sandwich Islands,1
