name,count
United States,623
United Kingdom,107
Canada,87
Australia,56
Netherlands,25
Sweden,18
Germany,18
Brazil,17
Ireland,15
Serbia,15
Denmark,14
Norway,13
Romania,12
Finland,12
Spain,12
Italy,11
Poland,11
Portugal,11
Croatia,9
Russia,9
Bulgaria,8
France,7
New Zealand,6
Greece,6
Ukraine,6
Hungary,6
Japan,5
Belgium,5
South Africa,4
Bosnia and Herzegovina,4
Lithuania,4
India,3
Philippines,3
Argentina,3
Mexico,3
Chile,3
Latvia,3
South Korea,2
Venezuela,2
Slovakia,2
Estonia,2
Iceland,2
Austria,2
Slovenia,2
Afghanistan,1
Switzerland,1
Hong Kong,1
Turkey,1
Colombia,1
Egypt,1
Kazakhstan,1
United Arab Emirates,1
French Polynesia,1
Malaysia,1
Algeria,1
Czechia,1
Saudi Arabia,1
North Macedonia,1
Albania,1
Oman,1
Singapore,1
Malta,1
